a	1234567890	96	28	7	2003	35010420030728713X	13842046890
b	7156816423	84	14	2	2004	410741200402148193	17584460748
c	5418719023	100	30	8	2005	320716200508304168	15068723694
d	4157405607	58	1	1	2002	321710200201017123	18130245023
e	3245105796	75	14	12	2004	441060200412149813	13940618910
f	2512305064	61	24	10	2001	54018520011024304X	13170568723
g	8123023551	47	8	9	2000	110410200009084130	15684526150
h	9156107342	79	6	3	2005	230405200503068104	17814150260
i	2315604651	84	17	8	1999	140503199908173063	15974626075
j	8516069606	38	27	5	2001	370406200105276599	17850641234

